"0023bab5-64d9-4dbf-b790-0bdfa0f55aec","b85abefb-46ef-4bc5-aeda-d92c34b41875","c7d037bf-69ce-4174-80e0-6fb7cbfe5df3","e619be77-f07f-4be9-a188-2a01d9943973","[Recommended by the Leads] - Temporary Link Id: wbrI","callout-link-added","6449f5d9-6711-4ea1-8dbe-9e8423d30c57",\N,"1"
"036c0cae-3e7f-4148-9879-bbd642dc428a","b85abefb-46ef-4bc5-aeda-d92c34b41875","30aba759-cf60-4c86-8e05-02eb13b19c74","5854a9f5-1c0d-4b74-98cb-d25ffb871306","[Collection of links - community - left] - Temporary Link Id: zfb0","callout-link-added","7973a11f-d565-44e7-bf1b-0e68dfccdea0",\N,"1"
"0542c72b-259b-4c0a-ac6c-2da342e97696","b85abefb-46ef-4bc5-aeda-d92c34b41875","45fb96f2-d090-4695-816b-244624c62412","79c31b1c-cca4-4f09-979e-70d4990f661e","[space] 'challenge-member-6097'","member-joined","37ddc9c9-d3c5-40f9-b6dd-09bd384dbea4",\N,"1"
"0599e341-3447-4b5b-92a4-e7aeaeaa5875","b85abefb-46ef-4bc5-aeda-d92c34b41875","911ce31a-a6ac-42d6-938b-d6c5dae61e26","3955f3c7-4a16-4aac-99c5-1f991dfd4d56","[test] - As a \\<persona or stakeholder type>\
\
I want \\<some software feature>\
\
So that \\<some business value>\
\
\\## Acceptance...","post-created","605200fe-c8cb-4a9a-8d52-102961dc0665",\N,"1"
"059a95ea-ec23-4651-ab8b-4482febd003d","b85abefb-46ef-4bc5-aeda-d92c34b41875","7da658ac-5068-42eb-a8f0-fdbdb6897cca","9f7e39a6-d30d-4ada-a720-517bc5f83e35","[Recommended by the Leads] - Temporary Link Id: 1TdK","callout-link-added","f9473723-aa8d-43c3-80b3-335b1eb9742f",\N,"1"
"05ea5c34-1ba2-4450-8d69-7b06be3f67e9","b85abefb-46ef-4bc5-aeda-d92c34b41875","30aba759-cf60-4c86-8e05-02eb13b19c74","9dd8a5b4-1126-4a12-9e43-b23f32160d7e","[Collection of links - community - left] - Temporary Link Id: ElF-","callout-link-added","7973a11f-d565-44e7-bf1b-0e68dfccdea0",\N,"1"
"070d03ab-d47b-4194-ab69-1face0f6d75f","b85abefb-46ef-4bc5-aeda-d92c34b41875","29cc2e07-a3b4-4ac8-a431-7e748d16c58a","73a699d1-0212-4939-877f-34d1dff5db2f","[test1]","whiteboard-created","44a02238-5229-40cb-b0cf-9ecc76db2796",\N,"1"
"075dc314-f6e9-436b-8bd1-2bcae8b38426","b85abefb-46ef-4bc5-aeda-d92c34b41875","7da658ac-5068-42eb-a8f0-fdbdb6897cca","7350c0cd-c51c-41ca-9e35-c780916ca57f","7.  **Descriptive text of a pet**\
\
Ana’s dog is a large black dog. Mixed race. You have all the shots up to date. His name is...","update-sent","6ef1e84a-8726-40a0-9c92-5049aac6c113","$qmvqcZhbZZEc4XAAsT9mwQbzcQJiSyBBsbnq1OUIncY","1"
"0772f156-b390-4d18-9bba-ded945ef7e2b","b85abefb-46ef-4bc5-aeda-d92c34b41875","c7d037bf-69ce-4174-80e0-6fb7cbfe5df3","31df28cd-a0fa-4f54-88c8-bc20ace8bb2d","[post - opportunities - left] - post - opportunities - left\
","callout-published","c7d037bf-69ce-4174-80e0-6fb7cbfe5df3",\N,"1"
"07c423da-4acc-47b6-8f6e-a4b7ef41ec1e","b85abefb-46ef-4bc5-aeda-d92c34b41875","b493d1de-bbf0-4cf7-97bc-f28d44c736f8","3a88498d-ca0b-49a6-b8ef-9ccdea5bf160","[Recommended by the Leads] - Temporary Link Id: vAfy","callout-link-added","b330af1f-2b7a-49f8-b7a5-f3cd4e019491",\N,"1"
